Bangladesh medical journal	Bangladesh Med J	Bangladesh. Med. J.
Surgical neurology	Surg Neurol	Surg. Neurol.
Isotopes in environmental and health studies	Isotopes Environ Health Stud	Isotopes. Environ. Health. Stud.
Tort & insurance law journal	Tort Insur Law J	Tort. Insur. Law. J.
Canadian journal of African studies	Can J Afr Stud	Can. J. Afr. Stud.
La Clinica ginecologica	Clin Ginecol	Clin. Ginecol.
Pediatrik cerrahi dergisi	Pediatr Cerrahi Derg	Pediatr. Cerrahi. Derg.
Si yu yan	Si Yu Yan	Si. Yu. Yan.
European urology	Eur Urol	Eur. Urol.
Surgical laparoscopy, endoscopy & percutaneous techniques	Surg Laparosc Endosc Percutan Tech	Surg. Laparosc. Endosc. Percutan. Tech.
Acta veterinaria Scandinavica	Acta Vet Scand	Acta. Vet. Scand.
Pennsylvania dental journal	Pa Dent J (Harrisb)	Pa. Dent. J. (Harrisb).
Bulletin of the 8th District Dental Society	Bull Eighth Dist Dent Soc	Bull. Eighth. Dist. Dent. Soc.
Loquens	Loquens	Loquens.
The South African journal of clinical nutrition : SAJCN : the official journal of the South African Society of Parenteral and Enteral Nutrition and the Association for Dietetics in South Africa	South Afr J Clin Nutr	South. Afr. J. Clin. Nutr.
Self	Self	Self.
Colombia medica (Cali, Colombia)	Colomb Med (Cali)	Colomb. Med. (Cali).
Pediatria internazionale	Pediatr Int (Roma)	Pediatr. Int. (Roma).
Simulation and synthesis in medical imaging : first International Workshop, SASHIMI 2016, held in conjunction with MICCAI 2016, Athens, Greece, October 21, 2016, Proceedings. SASHIMI (Workshop) (1st : 2016 : Athens, Greece)	Simul Synth Med Imaging (2016)	Simul. Synth. Med. Imaging. (2016).
Berytus	Berytus	Berytus.
Case reports in orthopedics	Case Rep Orthop	Case. Rep. Orthop.
Journal of pharmaceutical marketing & management	J Pharm Mark Manage	J. Pharm. Mark. Manage.
Mitteilungen aus dem Gebiete der Lebensmittel-untersuchung un Hygiene = Travaux de chimie alimentaire et d'hygiene	Mitt Geb Lebensmittelunters Hyg	Mitt. Geb. Lebensmittelunters. Hyg.
The Review of economic studies	Rev Econ Stud	Rev. Econ. Stud.
Refractive & corneal surgery	Refract Corneal Surg	Refract. Corneal. Surg.
International journal of engineering science	Int J Eng Sci	Int. J. Eng. Sci.
Insights in neurosurgery	Insights Neurosurg	Insights. Neurosurg.
Arkhiv patologii	Arkh Patol	Arkh. Patol.
BMC chemical biology	BMC Chem Biol	BMC. Chem. Biol.
Business and economic review (Columbia, S.C.)	Bus Econ Rev	Bus. Econ. Rev.
Quality assurance (San Diego, Calif.)	Qual Assur	Qual. Assur.
Frontline gastroenterology	Frontline Gastroenterol	Frontline. Gastroenterol.
The Army lawyer	Army Lawyer	Army. Lawyer.
Healthcare foodservice magazine : the international trade publication for the healthcare foodservice industry	Healthc Foodserv Mag	Healthc. Foodserv. Mag.
Aggiornamenti clinicoterapeutici	Aggiorn Clinico Ter	Aggiorn. Clinico. Ter.
Missouri medicine	Mo Med	Mo. Med.
Bulletin of the history of medicine	Bull Hist Med	Bull. Hist. Med.
Etudes limousines	Etud Limousines	Etud. Limousines.
Revista de medicina y ciencias afines	Rev Med Cienc Afines	Rev. Med. Cienc. Afines.
Genome	Genome	Genome.
Water history	Water Hist	Water. Hist.
Theorie und Praxis der Korperkultur	Theor Prax Korperkult	Theor. Prax. Korperkult.
CEPAL review	CEPAL Rev	CEPAL. Rev.
Note e riviste di psichiatria	Note Riv Psichiatr	Note. Riv. Psichiatr.
Sykepleien	Sykepleien	Sykepleien.
Seminars in dialysis	Semin Dial	Semin. Dial.
The Star	Star	Star.
Computers in nursing	Comput Nurs	Comput. Nurs.
Psychopathology review	Psychopathol Rev	Psychopathol. Rev.
Journal of clinical & laboratory immunology	J Clin Lab Immunol	J. Clin. Lab. Immunol.
Proceedings of the ASME Micro/Nanoscale Heat and Mass Transfer International Conference -- 2012 : presented at the ASME 2012 3rd Micro/Nanoscale Heat and Mass Transfer International Conference, March 3-6, 2012, Atlanta, Georgia. Micro/N...	Proc ASME Micro Nanoscale Heat Mass Transf Int Conf (2012)	Proc. ASME. Micro. Nanoscale. Heat. Mass. Transf. Int. Conf. (2012).
Somatosensory research	Somatosens Res	Somatosens. Res.
Archivo hispalense	Arch Hisp	Arch. Hisp.
Vietnamese studies (Hanoi, Vietnam : 1966)	Vietnam Stud	Vietnam. Stud.
British journal of psychotherapy	Br J Psychother	Br. J. Psychother.
Asia Pacific journal of clinical nutrition	Asia Pac J Clin Nutr	Asia. Pac. J. Clin. Nutr.
Annales de physique	Ann Phys (Paris)	Ann. Phys. (Paris).
IEEE transactions on information theory	IEEE Trans Inf Theory	IEEE. Trans. Inf. Theory.
Archiv fur die gesamte Virusforschung	Arch Gesamte Virusforsch	Arch. Gesamte. Virusforsch.
Physiologia Bohemoslovaca	Physiol Bohemoslov	Physiol. Bohemoslov.
Spaceflight	Spaceflight (Lond)	Spaceflight. (Lond).
Brain, behavior, and immunity	Brain Behav Immun	Brain. Behav. Immun.
UCLA [reports]. U.S. Atomic Energy Commission	UCLA Rep	UCLA. Rep.
European neurological review	Eur Neurol Rev	Eur. Neurol. Rev.
Lotta contro la tubercolosi	Lotta Tuberc	Lotta. Tuberc.
Michigan hospitals	Mich Hosp	Mich. Hosp.
Wiener tierarztliche Monatsschrift	Wien Tierarztl Monatsschr	Wien. Tierarztl. Monatsschr.
Educacion medica y salud	Educ Med Salud	Educ. Med. Salud.
Journal of clinical and translational endocrinology case reports	J Clin Transl Endocrinol Case Rep	J. Clin. Transl. Endocrinol. Case. Rep.
Soviet education	Sov Educ	Sov. Educ.
Diabete & metabolisme	Diabete Metab	Diabete. Metab.
Journal of allergy	J Allergy (Cairo)	J. Allergy. (Cairo).
Choice (Chicago, Ill.)	Choice (Middletown)	Choice. (Middletown).
The Society of Malawi journal. Society of Malawi (Historical and Scientific)	Soc Malawi J	Soc. Malawi. J.
Godisnjak Vojnomedicinske akademije = Annual of the Military Medical Academy	God Vojnomed Akad	God. Vojnomed. Akad.
Vestnik Akademii meditsinskikh nauk SSSR	Vestn Akad Med Nauk SSSR	Vestn. Akad. Med. Nauk. SSSR.
The American journal of international law	Am J Int Law	Am. J. Int. Law.
Natural language & linguistic theory	Nat Lang Linguist Theory	Nat. Lang. Linguist. Theory.
Annals of neurology	Ann Neurol	Ann. Neurol.
Health law vigil	Health Law Vigil	Health. Law. Vigil.
Revue medicale de Bruxelles	Rev Med Brux	Rev. Med. Brux.
La Clinica veterinaria	Clin Vet (Milano)	Clin. Vet. (Milano).
Journal of geographical systems	J Geogr Syst	J. Geogr. Syst.
Zeitschrift fur Orthopadie und ihre Grenzgebiete	Z Orthop Ihre Grenzgeb	Z. Orthop. Ihre. Grenzgeb.
Journal. Boston Society of Medical Sciences	J Boston Soc Med Sci	J. Boston. Soc. Med. Sci.
Growth and change	Growth Change	Growth. Change.
Trees (Berlin, Germany : West)	Trees (Berl West)	Trees. (Berl. West).
Africa report	Afr Rep	Afr. Rep.
Atmospheric measurement techniques	Atmos Meas Tech	Atmos. Meas. Tech.
International journal of population studies	Int J Popul Stud	Int. J. Popul. Stud.
Shou lei xue bao = Acta theriologica sinica		.
Ceskoslovenska rentgenologie	Cesk Rentgenol	Cesk. Rentgenol.
Revista panamericana de salud publica = Pan American journal of public health	Rev Panam Salud Publica	Rev. Panam. Salud. Publica.
The Clinical investigator	Clin Investig	Clin. Investig.
Arquivos de medicina : revista de ciencia e arte medicas	Arq Med	Arq. Med.
Nurse practitioner forum	Nurse Pract Forum	Nurse. Pract. Forum.
Seminars in pediatric neurology	Semin Pediatr Neurol	Semin. Pediatr. Neurol.
Alberta RN	Alta RN	Alta. RN.
ISRN toxicology	ISRN Toxicol	ISRN. Toxicol.
L'Infirmiere francaise	Infirm Fr	Infirm. Fr.
Schriftenreihe Zentralblatt fur Arbeitsmedizin, Arbeitsschutz und Prophylaxe	Schriftenr Zentralbl Arbeitsmed Arbeitsschutz Prophyl	Schriftenr. Zentralbl. Arbeitsmed. Arbeitsschutz. Prophyl.
British journal of learning disabilities	Br J Learn Disabil	Br. J. Learn. Disabil.
Open veterinary journal	Open Vet J	Open. Vet. J.
Revista. Centro de Estudos Demograficos (Portugal)	Rev Cent Estud Demograficos	Rev. Cent. Estud. Demograficos.
Cardiovascular journal of South Africa : official journal for Southern Africa Cardiac Society [and] South African Society of Cardiac Practitioners	Cardiovasc J S Afr	Cardiovasc. J. S. Afr.
Voenno-meditsinskii zhurnal	Voen Med Zh	Voen. Med. Zh.
Kwartalnik historii nauki i techniki : Kwartal'nyi zhurnal istorii nauki i tekhniki -	Kwart Hist Nauki Tech	Kwart. Hist. Nauki. Tech.
Telecommunication systems	Telecommun Syst	Telecommun. Syst.
International journal of mass spectrometry	Int J Mass Spectrom	Int. J. Mass. Spectrom.
Soins. Chirurgie generale et specialisee	Soins Chir Gen Spec	Soins. Chir. Gen. Spec.
Tidning. Sveriges Tandlakarforbund	Sver Tandlakarforb Tidn	Sver. Tandlakarforb. Tidn.
Revista interamericana de planificacion	Rev Interam Planif	Rev. Interam. Planif.
Drug-nutrient interactions	Drug Nutr Interact	Drug. Nutr. Interact.
Acupuncture in medicine : journal of the British Medical Acupuncture Society	Acupunct Med	Acupunct. Med.
New biotechnology	N Biotechnol	N. Biotechnol.
Annales de la Societe belge de medecine tropicale	Ann Soc Belg Med Trop	Ann. Soc. Belg. Med. Trop.
Sino-Western cultural relations journal = Zhong Xi wen hua jiao liu shi za zhi	Sino West Cult Relat J	Sino. West. Cult. Relat. J.
Concepts in immunopathology	Concepts Immunopathol	Concepts. Immunopathol.
Annales de dermatologie et de venereologie	Ann Dermatol Venereol	Ann. Dermatol. Venereol.
Journal of developing drugs	J Dev Drugs	J. Dev. Drugs.
Veterinary parasitology	Vet Parasitol	Vet. Parasitol.
Medical & biological engineering & computing	Med Biol Eng Comput	Med. Biol. Eng. Comput.
Scandinavian studies : publication of the Society for the Advancement of Scandinavian Study	Scand Stud	Scand. Stud.
Mens en onderneming	Mens Ondernem	Mens. Ondernem.
World heart journal	World Heart J	World. Heart. J.
American journal of science	Am J Sci	Am. J. Sci.
Nihon Kyobu Shikkan Gakkai zasshi	Nihon Kyobu Shikkan Gakkai Zasshi	Nihon. Kyobu. Shikkan. Gakkai. Zasshi.
Condorcet studies	Condorcet Stud	Condorcet. Stud.
International Journal of Ophthalmic Pathology	Int J Ophthalmic Pathol	Int. J. Ophthalmic. Pathol.
Salud reproductiva y sociedad : organo informativo del Programa Salud Reproductiva y Sociedad de El Colegio de Mexico	Salud Reprod Soc	Salud. Reprod. Soc.
Health policy and planning	Health Policy Plan	Health. Policy. Plan.
Biopolymers	Biopolymers	Biopolymers.
Proceedings. ACM SIGGRAPH Symposium on Interactive 3D Graphics and Games	Proc ACM SIGGRAPH Symp Interact 3D Graph Games	Proc. ACM. SIGGRAPH. Symp. Interact. 3D. Graph. Games.
Applied engineering in agriculture	Appl Eng Agric	Appl. Eng. Agric.
Calcium signaling (Santa Clara, Calif.)	Calcium Signal (St Clara)	Calcium. Signal. (St. Clara).
Veterinary therapeutics : research in applied veterinary medicine	Vet Ther	Vet. Ther.
Algal research	Algal Res	Algal. Res.
Pulmonary circulation	Pulm Circ	Pulm. Circ.
Annales immunologiae Hungaricae	Ann Immunol Hung	Ann. Immunol. Hung.
Progress in brain research	Prog Brain Res	Prog. Brain. Res.
Clinica contemporanea; revista de medicina e cirurgia	Clin Contemp	Clin. Contemp.
The New bioethics : a multidisciplinary journal of biotechnology and the body	New Bioeth	New. Bioeth.
Fortschritte der psychosomatischen Medizin. Advances in psychosomatic medicine	Fortschr Psychosom Med	Fortschr. Psychosom. Med.
Tohoku Shika Daigaku Gakkai shi	Tohoku Shika Daigaku Gakkai Shi	Tohoku. Shika. Daigaku. Gakkai. Shi.
Wiener medizinische Wochenschrift (1946)	Wien Med Wochenschr	Wien. Med. Wochenschr.
De Paul law review	De Paul Law Rev	De. Paul. Law. Rev.
Frontiers in bioscience : a journal and virtual library	Front Biosci	Front. Biosci.
Journal of agromedicine	J Agromedicine	J. Agromedicine.
Journal of applied microbiology	J Appl Microbiol	J. Appl. Microbiol.
Journal of resources and ecology	J Resour Ecol	J. Resour. Ecol.
Neurobiology of lipids	Neurobiol Lipids	Neurobiol. Lipids.
Cuadernos de farmacologia	Cuad Farmacol	Cuad. Farmacol.
Industrial health review	Ind Health Rev	Ind. Health. Rev.
Platelets	Platelets	Platelets.
Obstetrics and gynecology annual	Obstet Gynecol Annu	Obstet. Gynecol. Annu.
Praxis der Psychotherapie und Psychosomatik	Prax Psychother Psychosom	Prax. Psychother. Psychosom.
The open nursing journal	Open Nurs J	Open. Nurs. J.
Perspectives of the ASHA special interest groups	Perspect ASHA Spec Interest Groups	Perspect. ASHA. Spec. Interest. Groups.
[Kagaku] [Science]	Kagaku	Kagaku.
Revue francaise d'etudes americaines	Rev Fr Etud Am	Rev. Fr. Etud. Am.
Annals of the Academy of Medicine, Singapore	Ann Acad Med Singapore	Ann. Acad. Med. Singapore.
International journal of health sciences and research	Int J Health Sci Res	Int. J. Health. Sci. Res.
Radiobiologia, radiotherapia	Radiobiol Radiother (Berl)	Radiobiol. Radiother. (Berl).
Zentralblatt fur Gynakologie	Zentralbl Gynakol	Zentralbl. Gynakol.
Proceedings of the Australian Association of Neurologists	Proc Aust Assoc Neurol	Proc. Aust. Assoc. Neurol.
Trends in immunology	Trends Immunol	Trends. Immunol.
Food additives & contaminants. Part B, Surveillance	Food Addit Contam Part B Surveill	Food. Addit. Contam. Part. B. Surveill.
Manushi	Manushi	Manushi.
Symbolic interaction	Symb Interact	Symb. Interact.
Ocular immunology and inflammation	Ocul Immunol Inflamm	Ocul. Immunol. Inflamm.
Carbonates and evaporites	Carbonates Evaporites	Carbonates. Evaporites.
International journal of sports science & coaching	Int J Sports Sci Coach	Int. J. Sports. Sci. Coach.
African journal of urology : the official journal of the Pan African Urological Surgeons' Association (PAUSA)	Afr J Urol	Afr. J. Urol.
Journal of environmental management	J Environ Manage	J. Environ. Manage.
Dermatology practical & conceptual	Dermatol Pract Concept	Dermatol. Pract. Concept.
Journal of social work practice in the addictions	J Soc Work Pract Addict	J. Soc. Work. Pract. Addict.
Quarterly bulletin of Chinese bibliography	Q Bull Chin Bibliogr	Q. Bull. Chin. Bibliogr.
Health outcomes research in medicine	Health Outcomes Res Med	Health. Outcomes. Res. Med.
International journal of numerical analysis and modeling	Int J Numer Anal Model	Int. J. Numer. Anal. Model.
Proceedings of the ... International Symposium on High Performance Distributed Computing	Proc Int Symp High Perform Distrib Comput	Proc. Int. Symp. High. Perform. Distrib. Comput.
BIOforum : biologische Chemie, Mikrobiologie, Genetik, Immunologie, Virologie, Biotechnologie	Bioforum	Bioforum.
Journal of diabetes investigation	J Diabetes Investig	J. Diabetes. Investig.
Acta radiologica (Stockholm, Sweden : 1987)	Acta Radiol	Acta. Radiol.
Brain research. Brain research protocols	Brain Res Brain Res Protoc	Brain. Res. Brain. Res. Protoc.
Industrial medicine & surgery	Ind Med Surg	Ind. Med. Surg.
Queueing systems	Queueing Syst	Queueing. Syst.
Nederlands tijdschrift voor geneeskunde	Ned Tijdschr Geneeskd	Ned. Tijdschr. Geneeskd.
Geriatrie et psychologie neuropsychiatrie du vieillissement	Geriatr Psychol Neuropsychiatr Vieil	Geriatr. Psychol. Neuropsychiatr. Vieil.
Molecular & cellular proteomics : MCP	Mol Cell Proteomics	Mol. Cell. Proteomics.
Revista de sanidad militar	Rev Sanid Milit	Rev. Sanid. Milit.
Issues in medical ethics	Issues Med Ethics	Issues. Med. Ethics.
Indian journal of otolaryngology and head and neck surgery : official publication of the Association of Otolaryngologists of India	Indian J Otolaryngol Head Neck Surg	Indian. J. Otolaryngol. Head. Neck. Surg.
The Pakistan nursing and health review	Pak Nurs Health Rev	Pak. Nurs. Health. Rev.
Earth and mineral sciences	Earth Miner Sci	Earth. Miner. Sci.
Rural history : economy, society, culture	Rural Hist	Rural. Hist.
Basal ganglia	Basal Ganglia	Basal. Ganglia.
Scandinavian journal of infectious diseases	Scand J Infect Dis	Scand. J. Infect. Dis.
Proceedings (Baylor University. Medical Center)	Proc (Bayl Univ Med Cent)	Proc. (Bayl. Univ. Med. Cent).
Transplantation research	Transplant Res	Transplant. Res.
Zentralblatt fur Bakteriologie, Mikrobiologie, und Hygiene. Series A, Medical microbiology, infectious diseases, virology, parasitology	Zentralbl Bakteriol Mikrobiol Hyg A	Zentralbl. Bakteriol. Mikrobiol. Hyg. A.
International journal of bioscience, biochemistry, bioinformatics (IJBBB)	Int J Biosci Biochem Bioinforma	Int. J. Biosci. Biochem. Bioinforma.
Christ to the world	Christ World	Christ. World.
World journal of respirology	World J Respirol	World. J. Respirol.
The Journal of endocrinology	J Endocrinol	J. Endocrinol.
Heartbeat (San Francisco, Calif.)	Heartbeat	Heartbeat.
Labour economics	Labour Econ	Labour. Econ.
Anthropology and Philosophy	Anthropol Philos	Anthropol. Philos.
Health care financing review. Statistical supplement	Health Care Financ Rev Stat Suppl	Health. Care. Financ. Rev. Stat. Suppl.
Boletin de la Sociedad Valenciana de Pediatria	Bol Soc Valencia Pediatr	Bol. Soc. Valencia. Pediatr.
Folia biologica	Folia Biol (Praha)	Folia. Biol. (Praha).
World citizen news : newsletter of the World Government of World Citizens	World Citz News	World. Citz. News.
Rajasthan medical journal	Rajasthan Med J	Rajasthan. Med. J.
Revue roumaine de morphologie et d'embryologie	Rev Roum Morphol Embryol	Rev. Roum. Morphol. Embryol.
Current pharmacogenomics and personalized medicine	Curr Pharmacogenomics Person Med	Curr. Pharmacogenomics. Person. Med.
Health care financing review	Health Care Financ Rev	Health. Care. Financ. Rev.
Journal of medicine and the person	J Med Person	J. Med. Person.
Revista del Museo de la Facultad de Odontologia de Buenos Aires	Rev Museo Fac Odontol B Aires	Rev. Museo. Fac. Odontol. B. Aires.
Medical economics	Med Econ	Med. Econ.
Bulletin. University of London. Institute of Classical Studies	Bull Inst Class Stud Univ Lond	Bull. Inst. Class. Stud. Univ. Lond.
Minerva psichiatrica	Minerva Psichiatr	Minerva. Psichiatr.
Critical social policy	Crit Soc Policy	Crit. Soc. Policy.
ISRN parasitology	ISRN Parasitol	ISRN. Parasitol.
International journal of production research	Int J Prod Res	Int. J. Prod. Res.
Texas law review	Tex Law Rev	Tex. Law. Rev.
Igaku kenkyu. Acta medica	Igaku Kenkyu	Igaku. Kenkyu.
Antibiotics and chemotherapy	Antibiot Chemother (1971)	Antibiot. Chemother. (1971).
